Actual Player Name,Site.Account_Name,Serial Nos
,7-11 Calgary 26093,BYTE20160923736
,7-11 Vancouver 34290,BYTE20160923737
,KFC 1814,BYTE20160923738
,KFC 1540,BYTE20160923739
,Brioche Doree/Au Pain - Rene Levesque,BYTE20160923740
,KFC 1537,BYTE20170126651
,KFC 1537,BYTE20170126652
,KFC 1537,BYTE20170126653
,KFC Saskatoon 8011,BYTE20170126654
,KFC Saskatoon 8011,BYTE20170126655
,Brioche Doree/Au Pain - Rene Levesque,BYTE20170126656
,KFC 1537,BYTE20170126657
,KFC 1537,BYTE20170126658
,KFC 1557,BYTE20170126659
,Marcel Pelchat,BYTE20170126660
,Taz Hair Co - Yorkville,BYTE20170126661
,Coiffure Colorsha,BYTE20170126662
,Taco Bell 48-001,BYTE20170126663
,KFC 1557,BYTE20170126664
,Taco Bell 48-001,BYTE20170126665
,Taco Bell Upper James 49-005,BYTE20170126666
,Taco Bell 48-001,BYTE20170126667
,Taco Bell Upper James 49-005,BYTE20170126668
,Taco Bell 48-001,BYTE20170126669
,Taco Bell T05-005 Vaughan Mills,BYTE20170127012
,KFC 1342,BYTE20170127015
,Taco Bell T05-005 Vaughan Mills,BYTE20170127016
,KFC 1342,BYTE20170127017
,Taco Bell T05-005 Vaughan Mills,BYTE20170127018
,KFC 1342,BYTE20170127019
,KFC 1533,BYTE20170127020
,Taco Bell T05-005 Vaughan Mills,BYTE20170127022
,KFC 1533,BYTE20170127023
,KFC 1442,BYTE20170127024
,KFC 1442,BYTE20170127025
,Brioche Doree - Scarborough,BYTE20170127026
,KFC 1442,BYTE20170127027
,KFC 1442,BYTE20170127028
,KFC 1442,BYTE20170127030
,KFC 1342,BYTE20170128171
,Brioche Doree - Bloor,BYTE20170128172
,KFC Whitehorse 193-001,BYTE20170128173
,Taco Bell Upper James 49-005,BYTE20170128174
,Taco Bell Upper James 49-005,BYTE20170128175
,KFC Whitehorse 193-001,BYTE20170128176
,KFC Dawson Creek 098-001,BYTE20170128177
,KFC 1532,BYTE20170128178
,KFC Whitehorse 193-001,BYTE20170128180
,KFC 1532,BYTE20170128181
,Taz Hair Co - London,BYTE20170128183
,Brioche Doree - Bloor,BYTE20170128184
,Brennen Demelo,BYTE20170128185
,Taz Hair Co - Kingsway,BYTE20170128186
,KFC Whitehorse 193-001,BYTE20170128187
,KFC Whitehorse 193-001,BYTE20170128188
,CosmoProf - Guelph,BYTE20170128189
,Taco Bell Upper James 49-005,BYTE20170128190
,OK Tire Truck Centre,BYTE20170128531
,KFC Orchard Park 226-001,BYTE20170128532
,Kiehl's HBC Queen,BYTE20170128533
,7-11 Lansdowne 25406,BYTE20170128534
,KFC 1417,BYTE20170128535
,KFC Orchard Park 226-001,BYTE20170128536
,KFC Orchard Park 226-001,BYTE20170128537
,7-11 Lansdowne 25406,BYTE20170128538
,KFC 1532,BYTE20170128539
,KFC Orchard Park 226-001,BYTE20170128540
,KFC Orchard Park 226-001,BYTE20170128541
,KFC Orchard Park 226-001,BYTE20170128542
,7-11 Lansdowne 25406,BYTE20170128543
,KFC 1532,BYTE20170128544
,Jean Bleu - Place Versailles,BYTE20170128545
,Kiehl's HBC Queen,BYTE20170128546
,7-11 Lansdowne 25406,BYTE20170128547
,KFC 1532,BYTE20170128548
,Jean Bleu - Place Versailles,BYTE20170128549
,KFC 1417,BYTE20170128550
,Taco Bell 48-001,BYTE20170128591
,Brioche Doree - Scarborough,BYTE20170128592
,KFC 1430,BYTE20170128593
,KFC 1557,BYTE20170128594
,KFC 1417,BYTE20170128595
,Kiehl's Richmond 013,BYTE20170128596
,KFC 1557,BYTE20170128597
,Marcel Pelchat,BYTE20170128598
,KFC 1557,BYTE20170128599
,Kiehl's Coquitlam Centre 024,BYTE20170128601
,CosmoProf-Mississauga,BYTE20170128602
,KFC 1417,BYTE20170128603
,KFC 1417,BYTE20170128606
,Marcel Pelchat,BYTE20170128607
,7-11 Prince George 37260,BYTE20170128610
,Coiffure Robert Proulx,BYTE2017018609
,KFC Queen 1351,BYTE20170528781
,7-11 West Van 25931,BYTE20170528782
,7-11 West Van 25931,BYTE20170528783
,KFC 1878,BYTE20170528784
,Kernels Eaton Centre North,BYTE20170528785
,7-11 West Van 25931,BYTE20170528786
,7-11 Prince George 37262,BYTE20170528787
,7-11 West Van 25931,BYTE20170528788
,7-11 Lansdowne 25406,BYTE20170528789
,Taco Bell Brantford 49-008,BYTE20170528790
,7-11 Prince George 37263,BYTE20170528791
,Kiehl's Masonville 023,BYTE20170528792
,Teeez-Bay-Queen,BYTE20170528793
,Taco Bell Brantford 49-008,BYTE20170528794
,KFC Saskatoon 8003,BYTE20170528795
,KFC Beamsville 2025,BYTE20170528796
,Taco Bell Brantford 49-008,BYTE20170528798
,Taco Bell Brantford 49-008,BYTE20170528799
,Taco Bell Brantford 49-008,BYTE20170528800
,KFC Pape 1344,BYTE20170528821
,Taco Bell 48-002,BYTE20170528822
,KFC Saskatoon 8011,BYTE20170528823
,KFC Guelph 1571,BYTE20170528824
,KFC Pape 1344,BYTE20170528827
,Taco Bell 48-002,BYTE20170528828
,KFC Guelph 1571,BYTE20170528829
,Taco Bell T05-005 Vaughan Mills,BYTE20170528830
,Salon Mute,BYTE20170528831
,KFC Guelph 1571,BYTE20170528832
,KFC Pape 1344,BYTE20170528833
,Kiehl's Richmond 013,BYTE20170528834
,Coifferie International Inc.- Place De La Cite,BYTE20170528835
,Taco Bell 48-002,BYTE20170528836
,Taco Bell 48-002,BYTE20170528838
,KFC Pape 1344,BYTE20170528839
,Salon Mute,BYTE20170528840
,7-11 West Van 25931,BYTE20170528921
,Taco Bell Brantford 49-008,BYTE20170528921
,KFC 1533,BYTE20170528922
,7-11 Prince George 37260,BYTE20170528923
,KFC Fairview 1927,BYTE20170528924
,KFC Fairview 1927,BYTE20170528925
,KFC Fairview 1927,BYTE20170528926
,KFC 1516,BYTE20170528927
,KFC Saskatoon 8011,BYTE20170528928
,KFC Fairview 1927,BYTE20170528929
,7-11 Prince George 37259,BYTE20170528930
,7-11 Prince George 37258,BYTE20170528931
,KFC 1516,BYTE20170528932
,Brioche Doree/Au Pain - Rene Levesque,BYTE20170528933
,KFC 1516,BYTE20170528935
,KFC Fairview 1927,BYTE20170528936
,KFC 1516,BYTE20170528937
,KFC 1516,BYTE20170528938
,The Loft - Cornwall,BYTE20170528939
,KFC Saskatoon 8011,BYTE20170528940
,KFC 1441,BYTE20170529081
,Brioche Doree - Gauchetiere,BYTE20170529082
,Kernels Fallsview - F0092,BYTE20170529083
,L'Antete Salon,BYTE20170529084
,The Loft - Ottawa West,BYTE20170529085
,Taco Bell St Thomas 49-009,BYTE20170529086
,KFC Queen 1351,BYTE20170529087
,Taco Bell St Thomas 49-009,BYTE20170529089
,Calia Salon,BYTE20170529090
,Taco Bell St Thomas 49-009,BYTE20170529091
,"Les Coiffeurs Continentaux Place Vertu Inc, Project Alexis Nihon",BYTE20170529092
,L'OREAL CANADA MATRIX,BYTE20170529093
,Industria - Rockland Centre,BYTE20170529094
,L'OREAL CANADA MATRIX,BYTE20170529095
,Jean Bleu- St. Jean,BYTE20170529096
,Brioche Doree - Gauchetiere,BYTE20170529097
,Taco Bell St Thomas 49-009,BYTE20170529098
,7-11 Cloverdale  26517,BYTE20170529099
,Taco Bell St Thomas 49-009,BYTE20170529100
,7-11 West Van 25931,BYTE20170529981
,KFC Park Place Mall 237-001,BYTE20170529982
,KFC Port Hope 1579,BYTE20170529983
,KFC 1513,BYTE20170529984
,KFC Port Hope 1579,BYTE20170529985
,KFC Port Hope 1579,BYTE20170529986
,KFC Park Place Mall 237-001,BYTE20170529987
,KFC Park Place Mall 237-001,BYTE20170529989
,KFC Guelph 1571,BYTE20170529990
,KFC Queen 1351,BYTE20170529991
,KFC Port Hope 1579,BYTE20170529992
,KFC Park Place Mall 237-001,BYTE20170529993
,KFC Queen 1351,BYTE20170529994
,KFC Port Hope 1579,BYTE20170529995
,KFC Park Place Mall 237-001,BYTE20170529996
,KFC Guelph 1571,BYTE20170529997
,KFC Queen 1351,BYTE20170529998
,Taco Bell 48-002,BYTE20170529999
,KFC 1861,BYTE20170530000
,Booster Juice - Ottawa Airport,D0509942E576
,COBS-Deerfoot 9147,DL10J00201|28F00005
,COBS-Fort St. John 9070,DL10J00201|28F00012
,COBS-Collingwood 9315,DL10J00201|28F00013
,COBS-Riverside 7102,DL10J00201|28F00050
,COBS-17th Avenue 9143,DL10J00201|28F00077
,COBS-Maple Mews 9337,DL10J00201I17F00324
,COBS- Tuxedo Park 9402,DL10J00201I17F00336
,Cobs-Pine Center 9065,DL10J00201I17F00341
,COBS-London North West 9338,DL10J00201I17F00349
,COBS-West Granville 9142,DL10J00201I17F00353
,COBS-Ridley Square 9331,DL10J00201I17F00378
,7-11 Canada Inc,DL10J00201I17F00396
,COBS - Fairway Plaza 9334,DL10J00201I17F00516
,Cobs-Cottonwood Mall 9026,DL10J00201I17F00519
,COBS-Country Hills 9114,DL10J00201I17F00521
,Cobs-Capilano Mall 9014,DL10J00201I17F00524
,COBS - Panorama Village 9066,DL10J00201I17F00548
,COBS-The Annex 9306,DL10J00201I17F00559
,Cobs-Upper Oakville 9309,DL10J00201I17F00559
,Cobs-Crowfoot 9111,DL10J00201I17F00574
,Cobs-Summit 9042,DL10J00201I17F00575
,Cobs-Upper Oakville 9309,DL10J00201I17F00576
,COBS-Brentwood Common 9146,DL10J00201I17F00590
,COBS-Steeple Hill 9344,DL10J00201I28F00014
,COBS-Humbertown 9310,DL10J00201I28F00056
,COBS-Trinity Wilson Common 9339,DL10J00201I28F00070
,COBS-Folkstone 9340,DL10J00201I28F00096
,COBS-Riverside 7102,DL10J00201I28F00097
,COBS-Barrhaven 9329,DL10J00201I28F00098
,COBS-Bedford Place Mall 9501,DL10J00201I28F00099
,CBV - Sherway Gardens,DS43700201E08F00074
,CBV - Bayshore Shopping Centre,DS43700201E09F01780
,CBV - LimeRidge Mall,DS43700201E09F01925
,1982 Olympus,DS43700201E09F01932
,YUM 1983,DS43700201E09F01932
,CBV - Place D'Orleans,DS43700201E09F01939
,YUM 1983,DS43700301E35F00016 A0
,KFC Eaton Centre 1921,DS43700301E35F00025
,CBV - Upper Canada Mall,DS43700301E35F00054
,KFC Eaton Centre 1921,DS43700301E35F00064
,CBV - Pickering Town Centre,DS43700301E35F00074
,CBV - Georgian Mall,DS43700301E35F00090
,CBV - Pen Centre,DS43700301E35F00094
,CBV - Square One,DS43700301E35F00114
,CBV - Centerpoint Mall,DS43700301E35F0015
,CBV - Promenade Mall,DS43700301E35F00151
,CBV - White Oaks Mall,DS43700301E35F00185
,CBV - Niagara Outlet,DS43700301E35F00193
,CBV - Scarborough Town Centre,DS43700301E35F00209
,CBV - Lambton Mall,DS43700301E35F00216
,CBV - Vaughan Mills,DS43700301E35F00225
,KFC Eaton Centre 1921,DS43700301E35F00229
,CBV- Yorkville,DS43700301E35F00247
,CBV - Markville,DS43700301E35F00257
,KFC Eaton Centre 1921,DS43700301E35F00261
,CBV - Oshawa Centre,DS43700301E35F00271
,1982 Olympus,DS43700301E49F00087
,YUM 1983,DS43700301E49F00087 A2
,YUM 1983,DS43700301E49F00142
,CBV - Sunridge,DS43700301E49F00166
,YUM 1983,DS43700301E49F00208
,1982 Olympus,DS43700301E49F00257
,YUM 1983,DS43700301E49F00257 A1
,CBV - Intercity Shopping Centre,DS43700301E49F00292  -> DS43700301E35F00086
,7-11 Cold Lake 32239,DTVKGAA00342508AE69600 / 42503555896
,AAA - Kenton,DTVKGAA00342508B429600
,AAA - Clarence,DTVKGAA00342508B769600
,COBS-Lakeland 9104,G174800006946
,COBS-Callingwood 9109,G174900010231
,COBS - Davie 9009,G174900010232
,COBS-Gladwin 9028,G174900010232
,COBS - Tsawwassen Commons 9061,G174900010233
,COBS-Oxford Market 9058,G174900010234
,COBS - Edgemont 9001,G174900010235
,COBS-South Point Annex 9004,G174900010271
,COBS-Guildford 9017,G174900010272
,Cobs-Cottonwood Mall 9026,G174900010274
,COBS - Parkgate Village 9011,G174900010275
,Cinema St-Eustache,G181300000041
,COBS-Westhills 9110,G181300000042
,COBS-Crestwood 9101,G181300000044
,COBS-Clair Marketplace 9332,G181300000081
,COBS-TheBoardwalk 9328,G181300000086
,COBS-Applewood Village 9333,G181300000088
,Cobs-Willmott Marketplace 9335,G181300000090
,IKEA-Burlington,G6AY71100B2Q
,Kernels Mayfair,G6AY719007GY
,Kernels Galleries De La Capitale F0081,G6AY8140067Z
,IKEA-St.Catherines,I/C/DG4020 00185
,IKEA-London PuP,I/C/DG4121 00124
,IKEA-St.Catherines,I/C/DG4220 01828
,IKEA-Windsor,I/C/DG4220 01961
,IKEA-Whitby,I/C/DG4220 01961 --> 01A0108-352-SB30-A2A
,IKEA-Boucherville 414,I/C/DG4220 01962
,IKEA-Quebec City PuP,I/C/DG4220 01962
,7-11 Edmonton 27633,IA0 - DTVKGAA00342508ADB9600
,7-11 Edmonton 33343,IA0 -> 31000656096 / DTVFUAA006310019A09600
,7-11 Cold Lake 32239,IA0 DTVKGAA00342508B4A9600 / 42503565896
,,M0
,,M001
,,M002
,,m1
,L'Oreal Berkeley Heights Company Store - 212,MA
,L'Oreal Berkeley Heights Company Store - 212,MAB
,,MAB3
,7-11 Virden 38825,MAB322018064545
,KFC New Westminster 1803,MAB322018074703
,KFC Downsview 1365,mab322018074742
,KFC Pickering 1360,MAB322018074748
,Kiehl's Queen St 001,MAB32201807482
,7-11 Hamilton 29130,MAB322018074829
,KFC Scarborough 1335,MAB322018074850
,Taco Bell Scarborough 6324,MAB322018075064
,KFC 1374,MAB322018075083
,KFC Hamilton 1432,MAB322018075117
,L'Oreal Berkeley Heights Company Store - 212,MAB3P
,7-11 Edmonton 38652,MAB3P20010275
,House Account,MAB3P219
,"3P: NCS - Nanaimo, BC",MAB3P219050105
,7-11 Toronto 36712,mab3p219050270
,,MAB3P219050762B
,,MAB3P219050768
,NYX - WEM,MAB3P219051009
,KFC Brampton 1326,MAB3P219051484
,KFC Brampton 1326,MAB3P419080067
,7-11 Fort McMurray 38971,MAB3P420010345
,Kernels Square One - C0056,new#PSVBHP200114607DA49201
,Kernels Eaton Centre South,PSVBH0200511507D7F2701 - 11503212727
,Kernels BR Bayview/York Mills,PSVBH0200511507DFA2701
,Kernels Sherway Gardens,PSVBH0200511607DBE2701 --> replacement: SN: PSVBP4001224101D29201 601009427
,Kernels Bayshore F0082,"PSVBH0200512402A569201 - 12401083892--> SN: 601000754, SNID: PSVBH200512402A689201"
,Kernels Hillcrest,"PSVBH200511507D012701 11503200127--->SN: PSBVHP200123703B9B9201, SNID: 23701525992"
,Kernels CrossIron Mills - F0086,PSVBHP2001224101249201
,Kernels Fairview Mall,PSVBHP2001224101329201 - 22406584292
,Kernels Upper Canada Mall F0017,PSVBHP20012241015D9201 (Defective)
,Kernels Fairview Park,PSVBHP2001224101979201
,Kernels Lawson Heights,PSVBHP2001224101979201 - 12401085692
,Kernels Willowbrook C0010 (formerly F0073),PSVBHP2001224101BA9201
,Kernels Midtown Plaza,PSVBHP2001224101C69201
,Kernels Quinte,PSVBHP2001224101D29201
,Kernels Kingsway Garden,PSVBHP2001224102209201
,Kernels Orchard Park,PSVBHP200123100A2D9201
,Kernels Yorkdale Mall,PSVBHP200123100A449201
,Kernels Polo Park,PSVBHP200123100AF09201
,Kernels Georgian Mall,PSVBHP200123703B249201
,Kernels Oshawa Centre,PSVBHP200123703B5C9201
,Kernels Popcorn Limited,PSVBHP200123703B969201
,7-11 Toronto 23249,repurposed
,IKEA-North York 149,SMJ03WYBF
,7-11 Edmonton 37184,SN - DTVKGAA00342508B349600 SNID - 42503563696
,Kernels Chinook,SN: PSVBHP2001224101F39201 SNID: 22406603592
,Kernels Sherway Gardens,US00074034
,Kernels BR Bloor W,US00074050
,Kernels BR Heartland,US00118874
,Kernels BR Yonge,US00118874
,7-11 Cloverdale  26517,US00124232
,Kernels BR Yonge & Steeles/ Centerpoint,US00124265
,7-11 Cloverdale  26517,US00124300
,Kernels Park Place,US00124345
,7-11 Cloverdale  26517,US00124371
,Kernels Eaton Centre North,US00149672
,Kernels Richmond Centre,US00149687
,Kiehl's Masonville 023,US00149702
,Kernels Woodgrove Centre,US00149765
,Kiehl's Masonville 023,US00149844
,7-11 Cloverdale  26517,US00167779
,Cinema St-Eustache,US00167787
,Kernels West Ed 2 Ice Palace - F0090,US00167790
,Kernels Lambton Mall,US00167815 - US00167900
,Kernels Masonville Place,US00167900 - US00167815
,Kiehl's Carrefour Laval 020,US00216682
,Kernels Midtown Plaza,US00216876
,7-11 Bonnyville 27001,US00216889
,Kernels Calgary Eaton Centre,US00216897
,Kernels Kildonan Place,US00216903
,7-11 Bonnyville 27001,US00216905
,Kiehl's Queen St 001,US00217011
,Kernels Edmonton City Centre,US00217071
,Kernels Edmonton City Centre,US00217071
,Kiehl's Queen St 001,US00217077
,Kiehl's Carrefour Laval 020,US00217091
,Kernels CrossIron Mills - F0086,US00217124
,7-11 Bonnyville 27001,US00217148 (defective)
,Kiehl's Sherway 009,US00217172
,7-11 Edmonton 33343,US00217207
,Kiehl's Carrefour Laval 020,US00217209 --> US00216998
,Kernels BR Outlet Collection Winnipeg,US00217352
,Kernels Fairview Mall,US00217366
,Kernels Vaughan Mills - F0089,US00217366
,7-11 Cold Lake 32239,US00217668 - Removed
,Kernels Promenades Gatineau F0043 (formerly F0015),US00217742
,Kiehl's Eaton Centre 021,US00217745
,Kernels Bayshore F0082,US00217746
,Kernels Upper Canada Mall F0017,US00217798
,7-11 Edmonton 37184,US00217819
,Kernels Oshawa Centre,US00217851
,Kernels West Edmonton Mall F0011,US00217871
,Kiehl's Carrefour Laval 020,US00218207 -->BYTE20160923047
,Kiehl's Eaton Centre 021,US00218239
,Kernels Oakridge Centre C0012 (formerly C0066),US00218364
,Kernels Mayfair,US00218384
,Kernels Mayfair,US00218384
,Kernels Lawson Heights,US00218478
,Kernels Cataraqui Centre,US00218541
,Kernels Vaughan Mills - F0089,US03050604
